query_id,query,Recall@1,Precision@1,Recall@5,Precision@5,Recall@10,Precision@10
0,+Smiling,0.0961136648558295,0.0961136648558295,0.3313832010029252,0.08783953196824071,0.44567488508148767,0.07127037191809445
1,+Eyeglasses,0.4553734061930783,0.4553734061930783,0.6894353369763205,0.336247723132969,0.7700364298724954,0.2780054644808743
2,-Heavy_Makeup,0.07609493516026425,0.07609493516026425,0.24002936138977246,0.06596525568876928,0.3738683631025202,0.05972596036212381
3,+Male,0.16489028213166143,0.16489028213166143,0.4025078369905956,0.14470219435736678,0.5391849529780565,0.13630094043887148
4,-Young,0.2177404295051354,0.2177404295051354,0.46872082166199813,0.16451914098972922,0.5915966386554622,0.13663865546218487
5,+Blond_Hair,0.16127262753702687,0.16127262753702687,0.36332053391844943,0.12784786981166577,0.48381788261108066,0.11137319436825746
6,+Mustache,0.26245847176079734,0.26245847176079734,0.5647840531561462,0.1973421926910299,0.6943521594684385,0.15215946843853823
7,-Young,0.2177404295051354,0.2177404295051354,0.46872082166199813,0.16451914098972922,0.5915966386554622,0.13663865546218487
8,"+Eyeglasses, +Smiling",0.7009803921568627,0.7009803921568627,0.9052287581699346,0.4941176470588235,0.946078431372549,0.4019607843137255
9,"+Black_Hair, -Wavy_Hair",0.11936236391912908,0.11936236391912908,0.38530326594090203,0.11228615863141525,0.5408242612752722,0.10256609642301712
10,"-Male, -Mustache",0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.25925925925925924,0.044444444444444446
11,"+Chubby, -Young",0.4931506849315068,0.4931506849315068,0.7636986301369864,0.30205479452054795,0.833904109589041,0.2340753424657534
12,"-Smiling, +Eyeglasses, +Wearing_Hat",0.46835443037974683,0.46835443037974683,0.7215189873417721,0.25316455696202533,0.8607594936708861,0.24430379746835443
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.029411764705882353,0.029411764705882353,0.08823529411764706,0.017647058823529415,0.11764705882352941,0.014705882352941176
ALL,All selected cases,0.19333171971438945,0.19333171971438945,0.4221832264310783,0.15033885997821614,0.5427508168945904,0.12703921094033643
