candidate_id,score_metric,score,active_ctx,negative_weight,image_alpha,adapter_dim,lora_rank,reference_module,text_module,fused_module
126,Recall@10,0.304,2,0.8,0.35,64,16,lora,adapter,lora
76,Recall@10,0.3,4,0.5,0.5,0,8,none,none,lora
5,Recall@10,0.296,12,0.5,0.65,128,32,lora,adapter,none
68,Recall@10,0.296,8,0.65,0.8,0,16,lora,both,adapter
132,Recall@10,0.292,8,0.8,0.35,32,8,lora,both,lora
1,Recall@10,0.286,12,0.5,0.35,0,4,adapter,none,adapter
72,Recall@10,0.286,12,0.5,0.35,16,4,none,none,none
35,Recall@10,0.284,12,0.65,0.35,0,16,none,none,adapter
119,Recall@10,0.284,8,0.5,0.35,16,0,lora,lora,lora
100,Recall@10,0.27,2,0.8,0.35,32,8,lora,none,none
18,Recall@10,0.268,8,0.65,0.5,0,4,none,none,both
122,Recall@10,0.242,12,0.8,0.65,32,8,none,both,lora
125,Recall@10,0.24,8,0.8,0.65,128,8,none,both,lora
145,Recall@10,0.236,2,0.65,0.5,64,0,lora,both,none
52,Recall@10,0.234,2,0.8,0.65,64,8,none,lora,lora
133,Recall@10,0.23,2,0.8,0.5,32,0,lora,adapter,none
108,Recall@10,0.23,4,0.8,0.5,16,32,none,both,none
96,Recall@10,0.23,4,0.65,0.65,128,16,none,adapter,lora
9,Recall@10,0.216,8,0.8,0.5,128,8,none,adapter,none
14,Recall@10,0.196,12,0.8,0.8,64,8,none,none,lora
63,Recall@10,0.19,4,0.65,0.8,0,8,adapter,lora,lora
51,Recall@10,0.186,8,0.5,0.8,0,32,adapter,lora,both
37,Recall@10,0.168,12,0.8,0.65,64,32,none,lora,none
4,Recall@10,0.164,2,0.65,0.65,64,8,none,both,none
115,Recall@10,0.162,2,0.5,0.65,0,16,none,both,none
92,Recall@10,0.16,4,0.8,0.65,0,4,none,both,adapter
134,Recall@10,0.158,12,0.8,0.65,128,16,none,adapter,none
43,Recall@10,0.15,2,0.65,0.65,0,8,adapter,adapter,none
31,Recall@10,0.15,2,0.8,0.65,0,0,both,adapter,none
148,Recall@10,0.12,8,0.65,0.8,0,0,adapter,both,both
41,Recall@10,0.12,8,0.5,0.8,64,16,none,none,none
24,Recall@10,0.118,4,0.65,0.8,8,0,none,both,lora
130,Recall@10,0.116,4,0.65,0.8,16,8,none,both,none
131,Recall@10,0.114,4,0.5,0.8,64,8,none,both,none
135,Recall@10,0.114,2,0.65,0.8,0,0,adapter,adapter,both
